Date,score,vote,weighted_votes
2020-11-07,0.0011354142898969612,0.0,0.04259785518045356
2020-11-08,-0.0067613591444432766,-3.0,-1.5491692680848796
2020-11-09,-0.016874000874591753,-2.0,-0.9364864126727109
2020-11-10,-0.021036194004076317,-2.0,-0.9028262448973543
2020-11-11,-0.01475322040091253,2.0,0.9890341637016429
2020-11-12,-0.0007904815461016847,2.0,0.9103490001731308
2020-11-13,0.0031806129137629895,0.0,-0.1230622875077908
2020-11-14,-0.0017161918703881207,-5.0,-2.7281963412214987
2020-11-15,-0.002370084171031628,-3.0,-1.582979801633897
2020-11-16,-0.01454265862432779,-2.0,-1.0922024527384342
2020-11-17,0.008345609288140803,4.0,1.8614953387927167
2020-11-18,0.007908292287485713,2.0,0.9988841869006534
2020-11-19,0.03370806294507127,2.0,0.9837146985476996
2020-11-20,0.01814541115812045,1.0,0.5212693882794441
2020-11-21,0.030136869465796648,4.0,1.8877185654312867
2020-11-22,0.023370756885310297,2.0,0.9026730665106617
2020-11-23,0.015005471924930399,4.0,1.853512153225508
2020-11-24,0.011539074974466115,3.0,1.359524151164739
2020-11-25,-0.000739437448345092,2.0,0.9492744552563201
2020-11-26,0.0029966246859951845,2.0,1.0623163897521584
2020-11-27,0.006858980521421691,3.0,1.5928376831774025
2020-11-28,0.005659929677296218,1.0,0.6725563419157269
2020-11-29,0.002738130013622284,1.0,0.7273110978229913
2020-11-30,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0
2020-12-08,0.0008071583465727121,-1.0,-0.6187244515534722
2020-12-09,-0.02347364885593767,-3.0,-1.582979801633897
2020-12-10,-0.009104338635605948,-2.0,-1.1069709056185433
2020-12-11,-0.008054013941896436,2.0,0.928678640241523
2020-12-12,0.0032931796925718413,2.0,1.041132480303138
2020-12-13,-0.0006389611862258687,1.0,0.5436560851737902
2020-12-14,-0.004252145012303454,0.0,0.11133933759561587
2020-12-15,0.00031255978522508505,0.0,0.07167639454955099
2020-12-16,0.0071581462725662055,1.0,0.4982499998115838
2020-12-17,0.0041156418139570005,2.0,1.0069418320129004
2020-12-18,0.016964169785939648,3.0,1.4281725829371434
2020-12-19,0.030665310544250476,1.0,0.568165645555138
2020-12-20,0.042162702288239026,3.0,1.637558519941591
