Date,Return,con_pos,con_neg,overall
2024/4/26,-0.011456897,-0.136890518,-0.522214651,0.134482143
2024/4/27,-0.004792206,0,-0.248397972,-0.446811935
2024/4/28,-0.005217189,0,-0.312554532,-0.414263571
2024/4/29,0.011673007,0,0.019570858,0.047057276
2024/4/30,-0.050335887,0,0.195126369,0.172786647
2024/5/1,-0.038816313,0,-1.276956546,-1.057685334
2024/5/2,0.013898117,0,0.323316948,0.127974306
2024/5/4,0.015639782,0,0.100868942,0.14850118
2024/5/5,0.002151875,0,-0.490468977,-0.316334378
2024/5/7,-0.013416981,-0.609041659,0.556800505,1.469751315
2024/5/8,-0.018254326,0,-0.132614615,-0.129145865
2024/5/10,-0.036341408,0,-0.27287218,-0.358068274
2024/5/11,0.000720095,0.077418481,0.145870407,0.423558515
2024/5/12,0.010488401,0,-0.394806596,-0.281627643
2024/5/13,0.023798916,0,-0.004316389,-0.092067721
2024/5/14,-0.022041899,0.072982884,-0.086855315,0.053611402
2024/5/15,0.076364736,0,-0.127001773,-0.172650848
2024/5/16,-0.015004133,0.889894091,0,0.446615232
2024/5/17,0.027603704,0.307554039,0,0.296203144
2024/5/18,-0.001907746,0,-0.774267981,-1.004458069
2024/5/19,-0.009854031,0,-0.474396271,-0.342147637
2024/5/21,-0.017985738,-0.250993173,0,-0.185417426
2024/5/23,-0.016932529,0,0.291740815,0.370834852
2024/5/25,0.010850839,0,0.16822544,0.234975655
2024/5/29,-0.01100108,-0.501986345,0,-0.370834852
2024/5/30,0.011345828,0,0.291740815,0.370834852
2024/6/1,0.003602827,0,-0.247074608,-0.446615232
2024/6/2,0.000271236,0,0.145870407,0.185417426
2024/6/3,0.015591582,0.409346583,0,-0.250079917
2024/6/4,0.025442987,0,0.940159766,0.500159833
2024/6/5,0.008094531,-0.250993173,-0.313267997,-0.770140255
2024/6/6,-0.004824165,0,0.291740815,0.370834852
2024/6/7,-0.020419112,0,-0.549745655,-0.596209363
2024/6/10,-0.001974129,0.5856567,-0.485841077,0.403674479
2024/6/11,-0.031428316,0,0.14877283,0.175630783
2024/6/12,0.013835715,0,-0.023040723,-0.108733086
2024/6/13,-0.022107918,0,-0.852778512,-0.705981472
2024/6/15,0.00283941,0,-0.218007285,-0.193387192
2024/6/16,0.006664693,0,0.14877283,0.175630783
2024/6/17,-0.002245804,0.302559348,-0.933603556,-1.33165782
2024/6/18,-0.01991429,0,0.14877283,0.175630783
2024/6/19,-0.003107154,0,-0.37725701,-0.210759373
2024/6/20,-0.001594791,0,-0.283351908,-0.168701665
2024/6/22,0.002029347,0.028572619,-0.222331373,-0.372954803
2024/6/23,-0.016636959,0,-0.366937435,-0.369885317
2024/6/24,-0.046111295,-0.151702697,0,0.336096155
2024/6/25,0.025278211,0,-1.250916788,-0.641738268
2024/6/26,-0.015784648,0,-0.023040723,-0.108733086
2024/6/27,0.013379433,-0.445811177,-0.366937435,0.176970212
2024/6/29,0.009781113,0,-0.971682154,-0.67219231
2024/6/30,0.029085268,0,0.042406315,-0.003514423
2024/7/1,0.002348397,0,-0.366937435,-0.369885317
2024/7/2,-0.012567763,0,-0.306392632,-0.27743475
2024/7/3,-0.03049165,0,-0.195561919,-0.072430916
2024/7/4,-0.051630446,-0.142405782,-0.427964295,-0.394078705
2024/7/5,-0.00701419,0,-0.212960899,-0.214582414
2024/7/6,0.028403256,0,-0.366937435,-0.369885317
2024/7/7,-0.040934438,0,-0.485841077,-0.336096155
